crisis_id,crisis_name,crisis_type,severity,regions_affected,start_year,end_year,description
1,AIDS Crisis,pandemic,4,Africa|Americas|Europe,1986,1996,"Global HIV/AIDS pandemic reaching epidemic scale; deeply impacted music and culture especially in Europe and the Americas"
2,Black Monday,economic,2,Americas|Europe|Asia,1987,1987,"Largest single-day percentage stock market crash in history on 19 October 1987; short-lived but globally felt"
3,S&L Crisis,economic,3,Americas,1986,1995,"US savings and loan association crisis involving widespread insolvency of thrift institutions; cost ~$160bn"
4,Early 90s Recession,economic,3,Americas|Europe,1990,1991,"Global recession following the Gulf War oil price shock and tight monetary policy in the US and UK"
5,Gulf War,armed_conflict,4,Asia|Americas|Europe,1990,1991,"US-led coalition conflict against Iraq following its invasion of Kuwait; 34-nation coalition deployed"
6,Yugoslav Wars,armed_conflict,4,Europe,1991,1995,"Series of ethnic wars following dissolution of Yugoslavia; included Bosnian War and Croatian War of Independence"
7,Rwandan Genocide,armed_conflict,5,Africa,1994,1994,"Mass slaughter of Tutsi and moderate Hutu populations; approximately 800,000 killed in 100 days"
8,Asian Financial Crisis,economic,4,Asia|Oceania,1997,1998,"Currency and financial crisis beginning in Thailand spreading rapidly across Southeast and East Asia"
9,Kosovo War,armed_conflict,3,Europe,1998,1999,"Armed conflict in Kosovo between the Federal Republic of Yugoslavia and the Kosovo Liberation Army"
10,Dot-com Bust,economic,3,Americas|Europe|Asia,2000,2002,"Collapse of overvalued internet company stocks following the speculative bubble of the late 1990s"
11,9/11 and War on Terror,armed_conflict,5,Americas|Asia|Europe,2001,2003,"September 11 attacks and subsequent US-led military campaigns in Afghanistan and the broader War on Terror"
12,SARS Outbreak,pandemic,2,Asia|Americas,2002,2003,"Severe acute respiratory syndrome epidemic originating in Guangdong; first novel coronavirus outbreak"
13,Iraq War,armed_conflict,4,Asia|Americas|Europe,2003,2011,"US-led invasion of Iraq and subsequent decade-long occupation; over 200,000 civilian casualties estimated"
14,Global Financial Crisis,economic,5,Americas|Europe|Asia|Oceania|Africa,2007,2009,"Worst global financial crisis since the Great Depression triggered by US subprime mortgage collapse"
15,H1N1 Swine Flu,pandemic,3,Americas|Europe|Asia,2009,2010,"Influenza pandemic originating in Mexico; WHO declared first pandemic of the 21st century in June 2009"
16,Arab Spring,armed_conflict,4,Africa|Asia,2010,2012,"Wave of pro-democracy protests and armed uprisings across the Arab world; toppled governments in Tunisia Egypt Libya"
17,European Debt Crisis,economic,4,Europe,2010,2013,"Sovereign debt crisis affecting Greece Portugal Ireland Spain and Cyprus threatening Eurozone stability"
18,Syrian Civil War,armed_conflict,5,Asia|Europe,2011,2021,"Multifaceted civil conflict in Syria; over 600,000 deaths and 13 million displaced creating Europe's largest refugee crisis"
19,Ebola Epidemic,pandemic,3,Africa,2014,2016,"Largest Ebola outbreak in history centred in Guinea Liberia and Sierra Leone; over 11,000 deaths"
20,Crimea Annexation,armed_conflict,3,Europe|Asia,2014,2014,"Russian military annexation of Crimea from Ukraine in February–March 2014; marked major geopolitical rupture"
21,COVID-19 Pandemic,pandemic,5,Europe|Americas|Asia|Africa|Oceania,2020,2023,"Global respiratory pandemic caused by SARS-CoV-2; WHO declared public health emergency January 2020"
22,COVID Economic Shock,economic,5,Europe|Americas|Asia|Africa|Oceania,2020,2021,"Sharpest global economic contraction since records began; GDP fell 3.1% globally in 2020"
23,Russia-Ukraine War,armed_conflict,5,Europe|Americas|Asia,2022,2024,"Full-scale Russian invasion of Ukraine launched February 2022; largest European land war since WWII"
24,Cost-of-Living Crisis,economic,3,Europe|Americas|Asia|Africa|Oceania,2021,2023,"Global surge in consumer price inflation following pandemic supply shocks compounded by Ukraine war energy crisis"
